portfolio,allocator,space,overlay,epsilon,n_months,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,alpha,r_squared,style_concentration,style_ci_low,style_ci_high,ann_vol,sharpe_gross,sharpe_net,max_drawdown,turnover,eff_n,dsr_gross,dsr_net,in_mcs_gross,in_mcs_net,mcs_p_gross,mcs_p_net,n_trials
nco_corr_ov_e0.1,nco,correlation,overlay,0.1,156,,,,,,,,0.5891036152503603,,,0.124968270985987,0.8074169862509591,0.8031331333671047,-0.18622207892559206,0.5625850734553409,48.27320612058566,0.7099141135425996,0.7054437499966845,True,True,0.126,0.125,37
nco_corr_ov_e0.15,nco,correlation,overlay,0.15,156,,,,,,,,0.6607106030500423,,,0.1244203982375436,0.805827364667676,0.8015319085736896,-0.18540137091701892,0.5595702042857635,49.28843049345305,0.7103731532937668,0.7058835432935147,True,True,0.126,0.125,37
herc_factor,herc,factor,base,,156,,,,,,,,0.662075231224454,,,0.1524635203123397,0.6920261799540705,0.6882087574617417,-0.2618866298869844,0.587509269249561,188.303999860403,0.5715296556614303,0.5668224036654669,False,False,0.032,0.032,37
herc_factor_ov_e0,herc,factor,overlay,0.0,156,,,,,,,,0.546123807683615,,,0.1511852993657155,0.6727454423479432,0.6684416825132862,-0.2566267434028603,0.6507038514891677,166.436148648438,0.5482807376387367,0.5429303543110788,False,False,0.032,0.032,37
herc_factor_ov_e0.05,herc,factor,overlay,0.05,156,,,,,,,,0.5867883168362749,,,0.1511486373109999,0.6859580545688708,0.6817916115523425,-0.2610152105115461,0.6325225631503815,180.2228089855478,0.5635445142838796,0.5584341422657165,False,False,0.042,0.043,37
herc_factor_ov_e0.1,herc,factor,overlay,0.1,156,,,,,,,,0.61099661831352,,,0.1513081430272001,0.6812316707468532,0.6771425996978988,-0.26188647599328607,0.6226858273714819,186.6021798102004,0.5578323452247542,0.5527948858909999,False,False,0.042,0.043,37
herc_factor_ov_e0.15,herc,factor,overlay,0.15,156,,,,,,,,0.6208345371769377,,,0.1514980033509193,0.6784815146992961,0.6744671928842104,-0.26188654476626616,0.612845657732797,188.86188616775482,0.5549380053942939,0.5499706485531753,False,False,0.042,0.043,37
hrp_factor,hrp,factor,base,,156,,,,,,,,0.5801597786955448,,,0.1355832876972263,0.8295937986748927,0.8279359783208051,-0.223332290168072,0.24564895900035533,284.99204044617534,0.7233998034363506,0.7217000907835303,True,True,0.126,0.125,37
hrp_factor_ov_e0,hrp,factor,overlay,0.0,156,,,,,,,,0.4654443921649899,,,0.1390311136692395,0.8052110799176736,0.8029118126663415,-0.2370452867525248,0.337664276386963,225.55700772140685,0.6889131130104602,0.6864935607247868,True,True,0.126,0.125,37
hrp_factor_ov_e0.05,hrp,factor,overlay,0.05,156,,,,,,,,0.4978060511062899,,,0.1363678002148782,0.8300980074032058,0.8280323565653538,-0.22704642365878214,0.3010748867241068,254.8324466832783,0.719685671484332,0.7175933054423189,True,True,0.126,0.125,37
hrp_factor_ov_e0.1,hrp,factor,overlay,0.1,156,,,,,,,,0.5349683842834387,,,0.1355760913991661,0.8376843481040155,0.8357513401695528,-0.2241922735472931,0.28235927477398765,271.80905891318184,0.7294515604589442,0.7275171813291255,True,True,0.126,0.125,37
hrp_factor_ov_e0.15,hrp,factor,overlay,0.15,156,,,,,,,,0.5504904048610615,,,0.1353829171947117,0.835407471337979,0.8335748408734441,-0.2222776151813617,0.26865107642182307,279.2341758507909,0.7289208843131243,0.7270716819785744,True,True,0.126,0.125,37
nco_factor,nco,factor,base,,156,,,,,,,,0.7369573292888995,,,0.124681235169672,0.7664075624490548,0.7617590135740455,-0.18239108023386363,0.6049193485283892,41.48971585714001,0.6720362130513776,0.6667422937630618,True,True,0.126,0.125,37
nco_factor_ov_e0,nco,factor,overlay,0.0,156,,,,,,,,0.5160895411557329,,,0.1307115919814922,0.7887016878192427,0.7844804474363771,-0.20655128392680544,0.583060437925652,40.837547994269286,0.6797793436076034,0.675192711557697,True,True,0.126,0.125,37
nco_factor_ov_e0.05,nco,factor,overlay,0.05,156,,,,,,,,0.536270805160149,,,0.1289704107525053,0.7763821365178459,0.7720517971755095,-0.19933842631106014,0.587981792480078,41.97741157953207,0.6703989664700377,0.6655836210501551,True,True,0.126,0.125,37
nco_factor_ov_e0.1,nco,factor,overlay,0.1,156,,,,,,,,0.6043212096059893,,,0.1270639482276277,0.7620145864664217,0.7576111898523313,-0.19426996726143175,0.5887930985685219,42.71722563939833,0.6567141479055073,0.6516829320694715,True,True,0.126,0.125,37
nco_factor_ov_e0.15,nco,factor,overlay,0.15,156,,,,,,,,0.6494410616532634,,,0.1258815858287524,0.7585409392325485,0.7540720563248429,-0.19243809507195153,0.5912335792641562,43.05734642343224,0.6558192247627963,0.6506711933203713,True,True,0.126,0.125,37
